STATUS | wrapper  | 2020/05/04 16:54:27 | 
STATUS | wrapper  | 2020/05/04 16:54:27 | Launching a JVM...
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager: 
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           could not be loaded:
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:             D:\Deyviz Perez\Proyectos\tci-pse-update-component-install\v1.0.0.0\componentes\SrvWinFE_POS_Update_Epos\bin\..\lib\wrapper.dll
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           Reported cause:
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:             D:\Deyviz Perez\Proyectos\tci-pse-update-component-install\v1.0.0.0\componentes\SrvWinFE_POS_Update_Epos\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2020/05/04 16:54:27 | WrapperManager: 
STATUS | wrapperm | 2020/05/04 17:31:17 | Service is running.  Stopping it...
INFO   | jvm 1    | 2020/05/04 17:31:18 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=256m; support was removed in 8.0
STATUS | wrapper  | 2020/05/04 17:31:18 | <-- Wrapper Stopped
STATUS | wrapperm | 2020/05/04 17:31:20 | SrvWinFE - POS Update Epos stopped.
STATUS | wrapperm | 2020/05/04 17:31:20 | SrvWinFE - POS Update Epos service removed.
